trade_id,Opened,Closed,exit_reason,pnl,premium
1,2021-05-14,2021-06-03,expiration,-253.62000000000003,2300
2,2021-05-21,2021-06-10,expiration,-860.6199999999999,2680
3,2021-05-28,2021-06-17,expiration,191.38,2005
4,2021-06-11,2021-07-01,expiration,9.379999999999995,1735
5,2021-06-18,2021-07-08,take_profit,1317.5,2635
6,2021-06-25,2021-07-08,take_profit,1022.5,2045
7,2021-07-02,2021-07-08,take_profit,1140.0,2280
8,2021-07-09,2021-07-20,take_profit,975.0,1950
9,2021-07-16,2021-08-05,expiration,47.379999999999995,1965
10,2021-07-23,2021-08-12,expiration,-930.62,2195
11,2021-07-30,2021-08-19,expiration,1097.38,2650
12,2021-08-06,2021-08-26,expiration,544.38,2415
13,2021-08-13,2021-08-19,take_profit,995.0,1990
14,2021-08-20,2021-09-09,expiration,422.38,2495
15,2021-08-27,2021-09-16,expiration,-378.62,2610
16,2021-09-03,2021-09-23,expiration,-205.62000000000003,2210
17,2021-09-10,2021-09-30,expiration,420.38,2195
18,2021-09-17,2021-10-07,expiration,249.37999999999994,2410
19,2021-09-24,2021-10-14,expiration,-176.62000000000003,2250
20,2021-10-01,2021-10-21,expiration,-1360.62,2575
21,2021-10-08,2021-10-26,stop_loss,-2820.0,2820
22,2021-10-15,2021-11-03,stop_loss,-2260.0,2260
23,2021-10-22,2021-11-11,expiration,761.38,2300
24,2021-10-29,2021-11-03,stop_loss,-1780.0,1780
25,2021-11-05,2021-11-10,take_profit,1167.5,2335
26,2021-11-12,2021-11-26,take_profit,1382.5,2765
27,2021-11-19,2021-11-26,take_profit,1612.5,3225
28,2021-11-26,2021-11-26,take_profit,1085.0,2170
29,2021-12-03,2021-12-23,expiration,-1405.62,3475
30,2021-12-10,2021-12-30,expiration,-720.6199999999999,2915
31,2021-12-17,2022-01-06,expiration,259.38,2945
32,2021-12-31,2022-01-20,expiration,-735.62,2775
33,2022-01-07,2022-01-27,expiration,-68.61999999999995,2535
34,2022-01-14,2022-02-03,take_profit,1190.0,2380
35,2022-01-21,2022-02-03,take_profit,1320.0,2640
