trade_id,Opened,Closed,exit_reason,pnl,premium
1,2021-05-14,2021-05-27,expiration,-578.62,2340
2,2021-05-21,2021-06-03,expiration,-562.62,3045
3,2021-05-28,2021-06-10,expiration,-565.62,3110
4,2021-06-04,2021-06-17,expiration,143.37999999999994,2395
5,2021-06-11,2021-06-17,take_profit,235.5,2355
6,2021-06-18,2021-06-21,take_profit,200.5,2005
7,2021-06-25,2021-07-08,take_profit,246.5,2465
8,2021-07-02,2021-07-08,take_profit,210.0,2100
9,2021-07-09,2021-07-13,take_profit,253.5,2535
10,2021-07-16,2021-07-20,take_profit,257.0,2570
11,2021-07-23,2021-08-05,expiration,-190.62,2420
12,2021-07-30,2021-08-12,expiration,-855.6199999999999,2845
13,2021-08-06,2021-08-19,take_profit,305.5,3055
14,2021-08-13,2021-08-18,take_profit,287.0,2870
15,2021-08-20,2021-08-26,take_profit,246.0,2460
16,2021-08-27,2021-09-02,take_profit,263.0,2630
17,2021-09-03,2021-09-16,expiration,-562.62,2830
18,2021-09-10,2021-09-23,expiration,296.37999999999994,2645
19,2021-09-17,2021-09-20,take_profit,267.0,2670
20,2021-09-24,2021-09-29,take_profit,273.5,2735
21,2021-10-01,2021-10-01,take_profit,308.5,3085
22,2021-10-08,2021-10-21,expiration,-1770.62,2980
23,2021-10-15,2021-10-28,expiration,-77.61999999999989,2725
24,2021-10-22,2021-10-27,take_profit,260.5,2605
25,2021-10-29,2021-11-11,expiration,794.38,2760
26,2021-11-05,2021-11-08,take_profit,201.0,2010
27,2021-11-12,2021-11-19,take_profit,319.5,3195
28,2021-11-19,2021-11-23,take_profit,340.0,3400
29,2021-11-26,2021-11-26,take_profit,355.5,3555
30,2021-12-03,2021-12-03,take_profit,296.0,2960
31,2021-12-10,2021-12-14,take_profit,345.0,3450
32,2021-12-17,2021-12-21,take_profit,364.0,3640
33,2021-12-31,2022-01-13,take_profit,257.0,2570
34,2022-01-07,2022-01-13,take_profit,355.5,3555
35,2022-01-14,2022-01-27,expiration,-621.62,3005
36,2022-01-21,2022-02-03,take_profit,361.5,3615
37,2022-01-28,2022-01-28,take_profit,378.5,3785
38,2022-02-04,2022-02-10,take_profit,304.0,3040
39,2022-02-11,2022-02-14,take_profit,379.5,3795
40,2022-02-18,2022-02-22,take_profit,381.5,3815
41,2022-02-25,2022-02-28,take_profit,498.5,4985
42,2022-03-04,2022-03-17,expiration,-227.61999999999998,4470
43,2022-03-11,2022-03-24,expiration,-2400.62,4490
44,2022-03-18,2022-03-31,expiration,-207.62,3460
45,2022-03-25,2022-04-07,expiration,76.38,3085
46,2022-04-01,2022-04-14,expiration,-178.62,3695
47,2022-04-08,2022-04-21,expiration,-107.62,3695
48,2022-04-22,2022-04-27,take_profit,320.0,3200
49,2022-04-29,2022-05-05,take_profit,380.0,3800
50,2022-05-06,2022-05-13,take_profit,409.5,4095
51,2022-05-13,2022-05-13,take_profit,355.5,3555
52,2022-05-20,2022-05-23,take_profit,418.0,4180
53,2022-05-27,2022-06-09,expiration,71.38000000000011,4990
54,2022-06-03,2022-06-16,stop_loss,-3490.0,3490
55,2022-06-10,2022-06-23,expiration,46.379999999999995,4060
56,2022-06-17,2022-06-17,take_profit,334.0,3340
57,2022-06-24,2022-07-07,expiration,19.379999999999995,4565
58,2022-07-01,2022-07-07,take_profit,383.5,3835
59,2022-07-08,2022-07-19,take_profit,477.5,4775
