trade_date,calendar_date,dte_remaining,pnl_usd
2022-06-24,2022-06-24,21,0.0
2022-06-24,2022-07-15,0,-420.0
2022-07-01,2022-07-01,21,0.0
2022-07-01,2022-07-22,0,-410.0
2022-07-08,2022-07-08,21,0.0
2022-07-08,2022-07-29,0,-400.0
2022-07-15,2022-07-15,21,0.0
2022-07-15,2022-08-05,0,81.01
2022-07-22,2022-07-22,21,0.0
2022-07-22,2022-08-12,0,-490.0
2022-07-29,2022-07-29,21,0.0
2022-07-29,2022-08-19,0,-400.0
2022-08-05,2022-08-05,21,0.0
2022-08-05,2022-08-26,0,-440.0
2022-08-12,2022-08-12,21,0.0
2022-08-12,2022-09-02,0,-620.0
2022-08-19,2022-08-19,21,0.0
2022-08-19,2022-09-09,0,-146.01
2022-08-26,2022-08-26,21,0.0
2022-08-26,2022-09-16,0,761.99
2022-09-02,2022-09-02,21,0.0
2022-09-02,2022-09-23,0,1277.0
2022-09-09,2022-09-09,21,0.0
2022-09-09,2022-09-30,0,-370.0
2022-09-16,2022-09-16,21,0.0
2022-09-16,2022-10-07,0,1634.01
2022-09-23,2022-09-23,21,0.0
2022-09-23,2022-10-14,0,-410.0
2022-09-30,2022-09-30,21,0.0
2022-09-30,2022-10-21,0,-410.0
2022-10-07,2022-10-07,21,0.0
2022-10-07,2022-10-28,0,1206.01
2022-10-14,2022-10-14,21,0.0
2022-10-14,2022-11-04,0,-400.0
2022-10-21,2022-10-21,21,0.0
2022-10-21,2022-11-11,0,-490.0
2022-10-28,2022-10-28,21,0.0
2022-10-28,2022-11-18,0,-400.0
2022-11-04,2022-11-04,21,0.0
2022-11-04,2022-11-25,0,2212.01
2022-11-11,2022-11-11,21,0.0
2022-11-11,2022-12-02,0,-430.0
2022-11-18,2022-11-18,21,0.0
2022-11-18,2022-12-09,0,-420.0
2022-12-02,2022-12-02,21,0.0
2022-12-02,2022-12-23,0,2572.01
2022-12-09,2022-12-09,21,0.0
2022-12-09,2022-12-30,0,-400.0
2022-12-16,2022-12-16,21,0.0
2022-12-16,2023-01-06,0,-400.0
2022-12-23,2022-12-23,21,0.0
2022-12-23,2023-01-13,0,-410.0
2022-12-30,2022-12-30,21,0.0
2022-12-30,2023-01-20,0,-400.0
2023-01-06,2023-01-06,21,0.0
2023-01-06,2023-01-27,0,-405.0
2023-01-13,2023-01-13,21,0.0
