trade_id,Opened,Closed,exit_reason,pnl,premium
1,2021-05-14,2021-06-03,expiration,-253.62000000000003,2350
2,2021-05-21,2021-06-10,expiration,-883.6199999999999,2835
3,2021-05-28,2021-06-17,expiration,216.38,2020
4,2021-06-25,2021-07-13,take_profit,413.0,2065
5,2021-07-02,2021-07-08,take_profit,472.0,2360
6,2021-07-09,2021-07-15,take_profit,400.0,2000
7,2021-07-16,2021-07-20,take_profit,420.0,2100
8,2021-07-23,2021-08-12,expiration,-905.62,2350
9,2021-07-30,2021-08-19,expiration,1097.38,2695
10,2021-08-06,2021-08-19,take_profit,517.0,2585
11,2021-08-13,2021-08-18,take_profit,410.0,2050
12,2021-08-20,2021-09-07,take_profit,524.0,2620
13,2021-08-27,2021-09-07,take_profit,524.0,2620
14,2021-09-03,2021-09-09,take_profit,459.0,2295
15,2021-09-10,2021-09-30,expiration,463.3800000000001,2320
16,2021-09-17,2021-09-21,take_profit,492.0,2460
17,2021-09-24,2021-09-29,take_profit,456.0,2280
18,2021-10-01,2021-10-07,take_profit,525.0,2625
19,2021-10-08,2021-10-26,stop_loss,-2915.0,2915
20,2021-10-15,2021-11-03,stop_loss,-2400.0,2400
21,2021-10-22,2021-10-27,take_profit,490.0,2450
22,2021-10-29,2021-11-03,stop_loss,-1830.0,1830
23,2021-11-05,2021-11-09,take_profit,509.0,2545
24,2021-11-12,2021-11-23,take_profit,562.0,2810
25,2021-11-19,2021-11-24,take_profit,659.0,3295
26,2021-11-26,2021-11-26,take_profit,431.0,2155
27,2021-12-03,2021-12-17,take_profit,655.0,3275
28,2021-12-10,2021-12-16,take_profit,582.0,2910
29,2021-12-17,2022-01-06,expiration,254.38,2970
30,2021-12-31,2022-01-18,take_profit,565.0,2825
31,2022-01-07,2022-01-18,take_profit,524.0,2620
32,2022-01-14,2022-01-18,take_profit,498.0,2490
33,2022-01-21,2022-01-28,take_profit,568.0,2840
34,2022-01-28,2022-01-28,take_profit,502.0,2510
35,2022-02-04,2022-02-10,take_profit,622.0,3110
36,2022-02-11,2022-02-11,take_profit,641.0,3205
37,2022-02-18,2022-02-24,take_profit,791.0,3955
38,2022-02-25,2022-02-25,take_profit,624.0,3120
39,2022-03-04,2022-03-24,expiration,-207.6199999999999,3590
40,2022-03-11,2022-03-31,expiration,-1950.62,3450
41,2022-03-18,2022-03-29,stop_loss,-2465.0,2465
42,2022-03-25,2022-04-14,expiration,-1323.62,2935
43,2022-04-01,2022-04-21,expiration,-168.62,3165
44,2022-04-08,2022-04-28,expiration,1054.38,3570
45,2022-04-22,2022-04-28,take_profit,560.0,2800
46,2022-05-06,2022-05-24,take_profit,588.0,2940
47,2022-05-20,2022-05-23,take_profit,744.0,3720
48,2022-06-03,2022-06-03,take_profit,680.0,3400
49,2022-06-10,2022-06-14,stop_loss,-3045.0,3045
50,2022-06-17,2022-06-21,take_profit,706.0,3530
51,2022-06-24,2022-07-14,expiration,-675.62,3050
52,2022-07-01,2022-07-21,expiration,301.3800000000001,3780
53,2022-07-08,2022-07-28,expiration,379.3800000000001,2790
54,2022-07-15,2022-07-19,take_profit,598.0,2990
55,2022-07-22,2022-08-02,take_profit,560.0,2800
56,2022-08-05,2022-08-25,expiration,322.38,2815
57,2022-08-12,2022-08-30,stop_loss,-2120.0,2120
58,2022-08-19,2022-09-02,stop_loss,-3320.0,3320
59,2022-08-26,2022-09-15,expiration,-70.62,3480
60,2022-09-02,2022-09-07,take_profit,552.0,2760
61,2022-09-09,2022-09-14,take_profit,524.0,2620
62,2022-09-16,2022-10-06,expiration,531.3800000000001,3095
63,2022-09-23,2022-10-13,take_profit,563.0,2815
64,2022-10-07,2022-10-13,take_profit,727.0,3635
65,2022-10-21,2022-11-10,expiration,499.3800000000001,2620
66,2022-11-04,2022-11-08,take_profit,580.0,2900
67,2022-11-11,2022-11-16,take_profit,563.0,2815
68,2022-11-18,2022-12-08,expiration,914.3800000000001,5120
69,2022-12-02,2022-12-07,take_profit,300.0,1500
70,2022-12-09,2022-12-13,take_profit,510.0,2550
71,2022-12-16,2022-12-19,take_profit,781.0,3905
72,2022-12-23,2023-01-12,expiration,378.38,1725
73,2022-12-30,2023-01-19,expiration,-396.62,2230
74,2023-01-06,2023-01-12,take_profit,703.0,3515
75,2023-01-13,2023-01-27,take_profit,341.0,1705
76,2023-01-20,2023-01-23,take_profit,530.0,2650
77,2023-02-03,2023-02-03,take_profit,381.0,1905
78,2023-02-10,2023-02-16,take_profit,536.0,2680
79,2023-02-17,2023-03-09,expiration,534.3800000000001,2810
80,2023-02-24,2023-03-15,take_profit,644.0,3220
81,2023-03-03,2023-03-06,take_profit,304.0,1520
82,2023-03-10,2023-03-13,take_profit,332.0,1660
83,2023-03-17,2023-03-23,take_profit,666.0,3330
84,2023-03-24,2023-04-13,take_profit,487.0,2435
85,2023-03-31,2023-04-13,take_profit,456.0,2280
86,2023-04-14,2023-05-04,expiration,68.38,2290
87,2023-04-21,2023-05-03,take_profit,351.0,1755
88,2023-04-28,2023-05-03,take_profit,349.0,1745
89,2023-05-05,2023-05-19,take_profit,437.0,2185
90,2023-05-12,2023-05-18,take_profit,443.0,2215
91,2023-05-19,2023-05-22,take_profit,508.0,2540
92,2023-05-26,2023-05-30,take_profit,275.0,1375
93,2023-06-02,2023-06-02,take_profit,331.0,1655
94,2023-06-09,2023-06-12,take_profit,284.0,1420
95,2023-06-16,2023-07-06,expiration,-78.62,1990
96,2023-06-23,2023-06-30,take_profit,334.0,1670
97,2023-06-30,2023-06-30,take_profit,410.0,2050
98,2023-07-07,2023-07-20,take_profit,338.0,1690
99,2023-07-14,2023-07-20,take_profit,322.0,1610
100,2023-07-21,2023-07-27,take_profit,324.0,1620
101,2023-08-04,2023-08-24,stop_loss,-2025.0,2025
102,2023-08-11,2023-08-22,stop_loss,-1530.0,1530
103,2023-08-18,2023-09-07,expiration,-423.62,2300
104,2023-08-25,2023-09-14,expiration,-623.6199999999999,2335
105,2023-09-01,2023-09-21,stop_loss,-1685.0,1685
106,2023-09-08,2023-09-22,stop_loss,-1790.0,1790
107,2023-09-15,2023-10-05,expiration,-813.62,1885
108,2023-09-22,2023-10-06,take_profit,391.0,1955
109,2023-09-29,2023-10-06,take_profit,400.0,2000
110,2023-10-06,2023-10-06,take_profit,502.0,2510
111,2023-10-13,2023-10-13,take_profit,393.0,1965
112,2023-10-20,2023-11-09,expiration,-615.6199999999999,2675
113,2023-10-27,2023-11-16,expiration,-1369.62,1865
114,2023-11-03,2023-11-22,stop_loss,-2090.0,2090
115,2023-11-10,2023-11-24,stop_loss,-1910.0,1910
116,2023-11-17,2023-12-07,expiration,713.38,2275
117,2023-11-24,2023-12-01,take_profit,283.0,1415
118,2023-12-01,2023-12-01,take_profit,243.0,1215
119,2023-12-08,2023-12-13,take_profit,330.0,1650
120,2023-12-15,2023-12-18,take_profit,391.0,1955
121,2023-12-22,2024-01-04,stop_loss,-1570.0,1570
122,2024-01-05,2024-01-11,take_profit,480.0,2400
123,2024-01-12,2024-01-16,take_profit,301.0,1505
124,2024-01-19,2024-02-01,take_profit,359.0,1795
125,2024-01-26,2024-01-31,take_profit,269.0,1345
126,2024-02-02,2024-02-12,take_profit,364.0,1820
127,2024-02-09,2024-02-14,take_profit,429.0,2145
128,2024-02-16,2024-02-22,take_profit,386.0,1930
129,2024-03-01,2024-03-05,take_profit,241.0,1205
130,2024-03-08,2024-03-14,take_profit,417.0,2085
131,2024-03-15,2024-03-18,take_profit,445.0,2225
132,2024-03-22,2024-04-04,take_profit,384.0,1920
133,2024-04-05,2024-04-05,take_profit,527.0,2635
134,2024-04-12,2024-05-02,expiration,-458.62,1955
135,2024-04-19,2024-05-03,take_profit,523.0,2615
136,2024-04-26,2024-05-03,take_profit,421.0,2105
137,2024-05-03,2024-05-03,take_profit,328.0,1640
138,2024-05-17,2024-05-23,take_profit,559.0,2795
139,2024-05-24,2024-05-29,take_profit,232.0,1160
140,2024-05-31,2024-05-31,take_profit,347.0,1735
141,2024-06-07,2024-06-11,take_profit,304.0,1520
142,2024-06-14,2024-06-14,take_profit,474.0,2370
143,2024-06-21,2024-07-05,take_profit,374.0,1870
144,2024-06-28,2024-07-05,take_profit,384.0,1920
145,2024-07-05,2024-07-05,take_profit,463.0,2315
146,2024-07-19,2024-08-02,take_profit,479.0,2395
147,2024-07-26,2024-07-31,take_profit,424.0,2120
148,2024-08-02,2024-08-08,take_profit,610.0,3050
149,2024-08-09,2024-08-22,take_profit,488.0,2440
150,2024-08-16,2024-08-21,take_profit,457.0,2285
151,2024-08-23,2024-09-10,take_profit,527.0,2635
152,2024-08-30,2024-09-04,take_profit,347.0,1735
153,2024-09-06,2024-09-10,take_profit,515.0,2575
154,2024-09-13,2024-09-18,take_profit,445.0,2225
155,2024-09-20,2024-10-01,take_profit,435.0,2175
156,2024-10-04,2024-10-07,take_profit,611.0,3055
157,2024-10-11,2024-10-31,expiration,-760.62,6500
158,2024-10-18,2024-10-30,take_profit,448.0,2240
159,2024-10-25,2024-10-30,take_profit,513.0,2565
160,2024-11-01,2024-11-06,take_profit,325.0,1625
161,2024-11-08,2024-11-21,take_profit,563.0,2815
162,2024-11-15,2024-11-19,take_profit,517.0,2585
163,2024-11-22,2024-12-12,expiration,-481.62000000000006,2915
164,2024-12-06,2024-12-18,stop_loss,-2095.0,2095
165,2024-12-13,2025-01-02,expiration,-688.62,3010
166,2024-12-20,2024-12-20,take_profit,602.0,3010
167,2024-12-27,2025-01-16,expiration,308.38,2125
168,2025-01-03,2025-01-06,take_profit,646.0,3230
169,2025-01-17,2025-01-27,take_profit,439.0,2195
170,2025-01-24,2025-01-27,take_profit,373.0,1865
171,2025-01-31,2025-02-03,take_profit,551.0,2755
172,2025-02-07,2025-02-13,take_profit,521.0,2605
173,2025-02-14,2025-02-28,take_profit,519.0,2595
174,2025-02-21,2025-02-28,take_profit,576.0,2880
175,2025-02-28,2025-02-28,take_profit,478.0,2390
