trade_date,exp_date,underlying,dte_entry,structure,spot_entry,spot_exit,put_upper,put_center,put_lower,total_credit,vix_entry,iv_atm_pct,em_pct,expected_move,pnl_usd,result,exit_method,mfe,mae,pnl_exit30,pnl_exit21,pnl_exit14,pnl_exit10,pnl_exit7,pnl_exit5,pnl_exit3
2021-06-04,2021-07-30,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4217.1,4395.97,4080,3925,3290,200.0,16.65,16.65,6.52,275.0,-95.0,LOSS,expiration,655,-100,115.0,45.0,5.0,220.0,-70.0,-90.0,-90.0
2021-06-11,2021-08-06,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4243.32,4436.2,4120,3970,3350,760.0,15.43,15.43,6.04,256.5,-115.0,LOSS,expiration,545,-115,45.0,95.0,30.0,-20.0,-85.0,-107.5,-90.0
2021-06-18,2021-08-20,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4188.86,4400.27,4030,3860,3160,320.0,19.52,19.52,8.11,339.7,-180.0,LOSS,expiration,375,-182.5,90.0,-95.0,-125.0,-165.0,-180.0,-175.0,-165.0
2021-06-25,2021-08-20,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4274.57,4400.27,4150,4000,3400,270.0,15.71,15.71,6.15,263.0,-175.0,LOSS,expiration,205,-185,105.0,10.0,-55.0,-130.0,-175.0,-172.5,-160.0
2021-07-02,2021-08-27,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4333.06,4508.71,4210,4070,3450,150.0,14.52,14.52,5.69,246.4,-10.0,LOSS,expiration,400,-680,25.0,105.0,75.0,55.0,220.0,2.5,-7.5
2021-07-09,2021-09-03,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4349.82,4535.22,4210,4050,3375,200.0,16.97,16.97,6.65,289.1,-80.0,LOSS,expiration,360,-630,230.0,105.0,265.0,-45.0,-25.0,-72.5,-80.0
2021-07-16,2021-09-17,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4365.01,4433.19,4210,4040,3370,110.0,16.42,16.42,6.82,297.8,50.0,WIN,expiration,445,-450,255.0,265.0,55.0,50.0,67.5,25.0,40.0
2021-07-23,2021-09-17,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4382.7,4433.19,4235,4070,3410,60.0,17.21,17.21,6.74,295.4,10.0,WIN,expiration,385,-270,195.0,220.0,30.0,10.0,32.5,-10.0,0.0
2021-07-30,2021-09-24,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4406.6,4455.58,4250,4080,3425,620.0,17.89,17.89,7.01,308.8,50.0,WIN,expiration,1610,0,280.0,105.0,185.0,280.0,170.0,770.0,590.0
2021-08-06,2021-10-15,SPX,70,BWB 1-2-2 puts (+1/-2/+2),4431.13,4471.01,4260,4075,3325,10.0,16.94,16.94,7.42,328.7,60.0,WIN,expiration,2450,-180,445.0,705.0,2140.0,1965.0,675.0,375.0,760.0
2021-08-13,2021-10-15,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4464.73,4471.01,4310,4140,3475,130.0,15.33,15.33,6.37,284.4,-15.0,LOSS,expiration,2735,-245,380.0,515.0,2060.0,2220.0,1025.0,665.0,1500.0
2021-08-20,2021-10-15,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4400.27,4471.01,4240,4060,3340,30.0,21.57,21.57,8.45,371.8,55.0,WIN,expiration,2150,-35,385.0,605.0,1895.0,1695.0,525.0,275.0,545.0
2021-08-27,2021-10-29,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4484.57,4604.75,4320,4145,3400,990.0,17.59,17.59,7.31,327.7,-200.0,LOSS,expiration,1810,-980,160.0,885.0,615.0,105.0,-147.5,-167.5,-185.0
2021-09-03,2021-10-29,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4529.59,4604.75,4385,4220,3520,740.0,16.6,16.6,6.5,294.5,175.0,WIN,expiration,2585,-945,185.0,1410.0,1400.0,710.0,292.5,255.0,195.0
2021-09-10,2021-11-05,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4502.2,4696.4,4350,4175,3475,210.0,17.69,17.69,6.93,312.0,-90.0,LOSS,expiration,1585,-875,355.0,950.0,160.0,5.0,-25.0,-57.5,-85.0
2021-09-17,2021-11-19,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4451.54,4697.95,4280,4085,3325,350.0,19.5,19.5,8.1,360.6,-170.0,LOSS,expiration,950,-710,220.0,95.0,-165.0,-157.5,-170.0,-157.5,-152.5
2021-09-24,2021-11-19,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4452.18,4697.95,4290,4120,3450,200.0,18.68,18.68,7.32,325.8,-40.0,LOSS,expiration,635,-595,240.0,180.0,-35.0,-50.0,-40.0,-32.5,-30.0
2021-10-01,2021-11-26,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4309.7,4596.63,4130,3940,3275,3740.0,22.91,22.91,8.97,386.7,-180.0,LOSS,expiration,505,-200,-60.0,-170.0,-165.0,-177.5,-170.0,-75.0,-170.0
2021-10-08,2021-12-03,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4398.49,4577.1,4230,4060,3450,280.0,18.92,18.92,7.41,326.0,-145.0,LOSS,expiration,330,-185,65.0,-70.0,-137.5,-175.0,-152.5,-147.5,-110.0
2021-10-15,2021-12-17,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4465.65,4620.26,4310,4145,3490,110.0,15.9,15.9,6.61,295.0,20.0,WIN,expiration,680,-210,180.0,140.0,510.0,70.0,2.5,22.5,40.0
2021-10-22,2021-12-17,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4552.15,4620.26,4410,4250,3640,130.0,15.06,15.06,5.9,268.5,-65.0,LOSS,expiration,885,-80,210.0,215.0,680.0,195.0,-5.0,-32.5,22.5
2021-10-29,2021-12-31,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4585.1,4766.1,4420,4235,3540,100.0,17.06,17.06,7.09,325.0,-5.0,LOSS,expiration,1385,-7.5,590.0,390.0,390.0,765.0,0.0,0.0,2.5
2021-11-05,2021-12-31,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4713.96,4766.1,4570,4415,3775,70.0,15.07,15.07,5.9,278.3,0.0,LOSS,expiration,2395,-860,50.0,685.0,1050.0,2085.0,87.5,87.5,55.0
2021-11-12,2022-01-07,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4653.64,4676.51,4500,4330,3650,310.0,17.08,17.08,6.69,311.3,-150.0,LOSS,expiration,1185,-390,275.0,410.0,45.0,-80.0,-165.0,-127.5,-140.0
2021-11-19,2022-01-21,SPX,63,BWB 1-2-2 puts (+1/-2/+2),4710.65,4397.87,4540,4350,3550,170.0,17.87,17.87,7.42,349.7,14143.0,WIN,expiration,13875,-945,850.0,275.0,770.0,1180.0,885.0,1700.0,1700.0
2021-11-26,2022-01-21,SPX,56,BWB 1-2-2 puts (+1/-2/+2),4624.37,4397.87,4425,4205,3325,1030.0,25.77,25.77,10.09,466.8,2593.0,WIN,expiration,2885,-85,745.0,30.0,300.0,420.0,165.0,265.0,265.0
