trade_date,calendar_date,dte_remaining,spot,put_mid,call_mid,pnl_usd
2025-05-02,2025-05-02,42,2020.74,17.65,15.75,0.0
2025-05-02,2025-05-05,39,2004.26,20.0,12.35,105.0
2025-05-02,2025-05-06,38,1983.19,24.15,9.35,-10.0
2025-05-02,2025-05-07,37,1989.66,20.25,8.5,465.0
2025-05-02,2025-05-08,36,2026.41,13.65,14.7,505.0
2025-05-02,2025-05-09,35,2023.07,13.15,13.05,720.0
2025-05-02,2025-05-12,32,2092.2,4.55,25.25,360.0
2025-05-02,2025-05-13,31,2102.35,4.4,25.6,340.0
2025-05-02,2025-05-16,28,2113.25,3.125,24.5,577.5
2025-05-02,2025-05-19,25,2104.43,3.15,20.25,1000.0
2025-05-02,2025-05-20,24,2105.58,2.85,19.35,1120.0
2025-05-02,2025-05-21,23,2046.56,7.4,9.3,1670.0
2025-05-02,2025-05-22,22,2045.56,6.0,7.85,1955.0
2025-05-02,2025-05-23,21,2039.85,7.6,6.6,1920.0
2025-05-02,2025-05-27,17,2093.0,2.5,11.55,1935.0
2025-05-02,2025-05-28,16,2121.1,2.725,7.15,2352.5
2025-05-02,2025-05-29,15,2074.78,2.0,6.65,2475.0
2025-05-02,2025-05-30,14,2066.29,1.475,3.65,2827.5
2025-05-02,2025-06-02,11,2070.16,0.925,3.75,2872.5
2025-05-02,2025-06-03,10,2102.98,0.725,9.1,2357.5
2025-05-02,2025-06-04,9,2098.48,0.575,6.95,2587.5
2025-05-02,2025-06-05,8,2097.35,0.5,7.1,2580.0
2025-05-02,2025-06-06,7,2132.25,0.225,10.45,2272.5
2025-05-02,2025-06-09,4,2144.45,0.1,13.65,1965.0
2025-05-02,2025-06-10,3,2158.0,0.075,15.85,1747.5
2025-05-02,2025-06-11,2,2148.23,0.075,5.05,2827.5
2025-05-02,2025-06-12,1,2140.09,0.075,2.2,3112.5
2025-05-02,2025-06-13,0,2100.51,0.0,0.0,3340.0
2025-05-23,2025-05-23,38,2039.85,17.4,10.9,0.0
2025-05-23,2025-05-27,34,2093.0,7.6,17.0,370.0
2025-05-23,2025-05-28,33,2121.1,8.8,12.15,735.0
2025-05-23,2025-05-29,32,2074.78,7.85,12.7,775.0
2025-05-23,2025-05-30,31,2066.29,7.75,8.85,1170.0
2025-05-23,2025-06-02,28,2070.16,6.25,9.65,1240.0
2025-05-23,2025-06-03,27,2102.98,4.75,18.05,550.0
2025-05-23,2025-06-04,26,2098.48,4.5,15.7,810.0
2025-05-23,2025-06-05,25,2097.35,4.4,16.85,705.0
2025-05-23,2025-06-06,24,2132.25,2.625,23.0,267.5
2025-05-23,2025-06-09,21,2144.45,2.125,27.3,-112.5
2025-05-23,2025-06-10,20,2158.0,1.7,30.35,-375.0
2025-05-23,2025-06-11,19,2148.23,2.05,24.45,180.0
2025-05-23,2025-06-12,18,2140.09,1.8,19.55,695.0
2025-05-23,2025-06-13,17,2100.51,3.4,10.0,1490.0
2025-05-23,2025-06-16,14,2129.5,1.375,12.45,1447.5
2025-05-23,2025-06-17,13,2101.96,2.2,9.15,1695.0
2025-05-23,2025-06-18,12,2112.96,1.225,8.25,1882.5
2025-05-23,2025-06-20,10,2109.27,0.9,5.1,2230.0
